"タイトル","出力日付","会社名","会計単位","会計年度","指示日付（開始）","指示日付（終了）","仕訳日付","仕訳番号","計上種類","入力日付","入力者","行種類","仕訳行番号","勘定科目コード（借方）","勘定科目名称（借方）","補助科目コード（借方）","補助科目名称（借方）","部門コード（借方）","部門名称（借方）","税計算区分（借方）","消費税区分（借方）","摘要（借方）","金額（借方）","消費税額（借方）","勘定科目コード（貸方）","勘定科目名称（貸方）","補助科目コード（貸方）","補助科目名称（貸方）","部門コード（貸方）","部門名称（貸方）","税計算区分（貸方）","消費税区分（貸方）","摘要（貸方）","金額（貸方）","消費税額（貸方）"
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/11","0000003","月次仕訳","2023/10/20","伊藤愛基","明細",1,"705","通信費","999","その他","","","税込","仕入10%","ConoHa VPS, 証票: 535f6da1-3023-a906-3dc5-c7b2e1ccb67b",1064,96,"","","","","","","","","","",""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/11","0000003","月次仕訳","2023/10/20","伊藤愛基","明細",2,"","","","","","","","","","","","322","未払金","001","こるく立替金","","","対象外","対象外","",1064,0
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/11","0000003","月次仕訳","2023/10/20","伊藤愛基","合計",0,"","","","","","","","","",1064,"","","","","","","","","","",1064,""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000004","月次仕訳","2023/10/25","伊藤愛基","明細",1,"","","","","","","","","","","","x501","受取寄付金","","","","","対象外","対象外","GitHub Sponsors",19334,0
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000004","月次仕訳","2023/10/25","伊藤愛基","明細",2,"111","普通預金","002","住信SBIネット銀行普通預金","","","対象外","対象外","",19334,0,"","","","","","","","","","",""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000004","月次仕訳","2023/10/25","伊藤愛基","合計",0,"","","","","","","","","",19334,"","","","","","","","","","",19334,""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000006","月次仕訳","2023/10/25","伊藤愛基","明細",1,"725","支払手数料","","","","","対象外","非課仕","",2500,0,"","","","","","","","","","",""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000006","月次仕訳","2023/10/25","伊藤愛基","明細",2,"","","","","","","","","","","","111","普通預金","002","住信SBIネット銀行普通預金","","","対象外","対象外","",2500,0
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/23","0000006","月次仕訳","2023/10/25","伊藤愛基","合計",0,"","","","","","","","","",2500,"","","","","","","","","","",2500,""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/24","0000005","月次仕訳","2023/10/25","伊藤愛基","明細",1,"","","","","","","","","","","","111","普通預金","002","住信SBIネット銀行普通預金","","","対象外","対象外","→ ソニー銀行",16834,0
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/24","0000005","月次仕訳","2023/10/25","伊藤愛基","明細",2,"111","普通預金","001","ソニー銀行普通預金","","","対象外","対象外","← 住信SBIネット銀行",16834,0,"","","","","","","","","","",""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/24","0000005","月次仕訳","2023/10/25","伊藤愛基","合計",0,"","","","","","","","","",16834,"","","","","","","","","","",16834,""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/25","0000007","月次仕訳","2023/10/25","伊藤愛基","明細",1,"322","未払金","001","こるく立替金","","","対象外","対象外","",1456,0,"","","","","","","","","","",""
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/25","0000007","月次仕訳","2023/10/25","伊藤愛基","明細",2,"","","","","","","","","","","","111","普通預金","001","ソニー銀行普通預金","","","対象外","対象外","",1456,0
"仕訳帳","2023/11/17","限界開発鯖","本社","2023","2023/10/1","2023/10/31","2023/10/25","0000007","月次仕訳","2023/10/25","伊藤愛基","合計",0,"","","","","","","","","",1456,"","","","","","","","","","",1456,""
